Bin	Average_expression	Median_expression	Rel_cov	Sponge	Phylum	Class	Order	Family	Genus	Species
FL2014_3_0001	0.000151758	4.31E-05	0.544804012	H. lachne	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2014_3_0002	3.80E-05	1.36E-05	1.377731966	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_3_0003	0.000240528	9.32E-05	0.543210811	H. lachne	Chloroflexota	Anaerolineae	Caldilineales	Bin34	Bin34	0
FL2014_3_0004	0.000246564	0.000113284	0.447703369	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_3_0005	5.13E-05	2.30E-05	0.718764761	H. lachne	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2014_3_0006	0.000571035	0.000158737	0.585490758	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2014_3_0007	4.85E-05	1.17E-05	0.314179985	H. lachne	Gemmatimonadota	Gemmatimonadetes	0	0	0	0
FL2014_3_0008	0.002493979	0.001396926	3.633006399	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2014_3_0009	3.12E-05	8.73E-06	0.818747938	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	0	0
FL2014_3_0010	7.07E-05	2.09E-05	0.236465833	H. lachne	Chloroflexota	UBA11872	UBA11872	0	0	0
FL2014_3_0011	5.72E-05	1.82E-05	1.570659864	H. lachne	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	0
FL2014_3_0012	0.000278313	0.000113284	0.22810467	H. lachne	Chloroflexota	Dehalococcoidia	UBA6952	QGNO01	0	0
FL2014_3_0013	5.19E-05	1.31E-05	0.57643176	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_3_0014	0.000481323	0.000166921	0.180858136	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_3_0015	0.000133958	3.29E-05	0.250997574	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_3_0016	8.95E-05	2.25E-05	0.18275097	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_3_0017	0.000314247	0.00010699	0.151351798	H. lachne	Chloroflexota	0	0	0	0	0
FL2014_3_0019	0.000342025	0.000152843	0.145522365	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	GCA-2712585	0	0
FL2014_3_0020	0.000135158	5.90E-05	0.154473174	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2014_3_0021	0.000331547	0.000132464	0.13737333	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2014_3_0022	0.000147225	3.96E-05	0.336603873	H. lachne	Proteobacteria	Alphaproteobacteria	SP197	SP197	SP197	0
FL2014_3_0023	2.34E-05	6.11E-06	0.278038598	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
FL2014_3_0025	3.59E-05	5.24E-06	0.378520492	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_3_0026	4.50E-05	8.00E-06	0.722446669	H. lachne	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	0
FL2014_3_0027	7.84E-05	7.22E-06	0.349815542	H. lachne	Acidobacteriota	Vicinamibacteria	0	0	0	0
FL2014_3_0031	2.80E-05	5.01E-06	0.45296807	H. lachne	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	Bin65	0
FL2014_3_0032	1.45E-05	4.49E-06	0.335217049	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	0	0
FL2014_3_0035	0.001793339	0.001011543	0.316845533	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2014_3_0036	0.001679492	0.000874951	0.20842845	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	0
FL2014_3_0037	7.04E-05	3.34E-06	0.139200202	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2014_3_0038	8.48E-05	1.71E-05	1.249043025	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_3_0042	8.17E-05	3.66E-05	0.721656956	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2014_3_0043	0.000199239	6.11E-05	0.359732112	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_3_0044	9.21E-06	0	0.534474116	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_3_0045	0.0004336	0.00021398	0.458104766	H. lachne	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Bin5	0
FL2014_3_0046	0.000561024	0.000286908	1.588992539	H. lachne	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2014_3_0047	3.54E-05	9.04E-06	1.93081581	H. lachne	Acidobacteriota	Thermoanaerobaculia	UBA5704	QQVD01	0	0
FL2014_3_0048	7.11E-05	2.41E-05	0.545587671	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_3_0049	9.44E-05	2.38E-05	0.693491584	H. lachne	Chloroflexota	Dehalococcoidia	UBA1127	UBA1127	UBA1127	0
FL2014_3_0050	5.49E-05	1.30E-05	0.314314905	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	0	0
FL2014_3_0051	0.000101596	4.94E-05	2.005813415	H. lachne	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2014_3_0052	4.92E-05	1.44E-05	0.326727506	H. lachne	Actinobacteriota	Acidimicrobiia	UBA5794	SZUA-232	0	0
FL2014_3_0053	0.000107884	4.39E-05	1.344054014	H. lachne	Desulfobacterota_D	UBA1144	0	0	0	0
FL2014_3_0054	2.01E-05	2.11E-06	0.567154593	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_3_0055	6.58E-05	1.96E-05	2.933788639	H. lachne	Proteobacteria	Gammaproteobacteria	UBA10353	LS-SOB	0	0
FL2014_3_0056	0.000230278	0.000125475	0.343447102	H. lachne	Latescibacterota	0	0	0	0	0
FL2014_3_0057	7.71E-05	2.30E-05	0.36304981	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_3_0058	0.000115622	2.99E-05	0.60236324	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2014_3_0059	2.61E-05	9.90E-06	0.916429744	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
