Sponge specimen	Taxonomic Classification	Activity	Shotgun	Metatranscriptome
FL2014.3	Hippospongia lachne	Antibiofilm	Yes	Yes
FL2014.9	Hippospongia lachne	No Activity	Yes	Yes
FL2015.42	Tedania ignis	No Activity	Yes	Yes
FL2015.43	Tedania ignis	Antibiofilm	Yes	Yes
FL2015.09	Ircinia felix	Antibiotic	Yes	Yes
FL2015.34	Ircinia felix	No Activity	Yes	Yes
FL2015.04	Spheciospongia vesparium	No Activity	Yes	Yes
FL2015.05	Spheciospongia vesparium	Antibiofilm	Yes	Yes
FL2015.44	Neopetrosia proxima / Spheciospongia vesparium	Antibiofilm	Yes	Yes
FL2015.37	Neopetrosia proxima / Spheciospongia vesparium	No Activity	Yes	Yes
