BGC_name	Sum_of_expression	Average_expression	Median_expression	Bin	Type	Cluster	Sponge_ID	Phylum
FL2014_3_c00001_NODE_1_...region001	9.31E-05	7.16E-06	4.08E-06	FL2014_3_10	Other	391	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region002	0.000165408	3.31E-05	3.23E-05	FL2014_3_10	Other	1307	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region003	0.000225581	1.50E-05	7.89E-06	FL2014_3_10	Other	638	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region004	6.93E-05	1.16E-05	3.13E-06	FL2014_3_10	Other	987	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region005	0.00025024	9.62E-06	3.74E-06	FL2014_3_10	Other	132	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region006	0.000219581	3.14E-05	1.40E-05	FL2014_3_10	Other	361	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region007	0.000177582	1.48E-05	5.49E-06	FL2014_3_10	Other	164	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region008	0.0001549	1.19E-05	7.59E-06	FL2014_3_10	Other	451	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region009	2.24E-05	2.80E-06	1.87E-06	FL2014_3_10	Other	1110	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region010	5.92E-05	1.18E-05	1.03E-05	FL2014_3_10	Other	1012	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region011	0.000436847	1.62E-05	4.48E-06	FL2014_3_10	Other	1347	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region012	0.000118426	2.37E-05	4.90E-06	FL2014_3_10	Other	472	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region013	8.27E-05	9.19E-06	6.92E-06	FL2014_3_10	Other	1027	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region014	0.000174155	6.70E-06	2.82E-06	FL2014_3_10	Other	371	FL2014_3	Actinobacteriota
FL2014_3_c00001_NODE_1_...region015	2.39E-05	2.39E-06	1.49E-06	FL2014_3_10	Other	180	FL2014_3	Actinobacteriota
