FL2015_5	NODE_528_length_20880_cov_4614.317598
FL2015_4	NODE_12_length_19406_cov_3137.394883
FL2015_44	NODE_2038_length_18492_cov_3.361827
FL2015_37	NODE_6_length_20917_cov_5087.047027
FL2015_42	NODE_703_length_19394_cov_1408.958694
FL2015_43	NODE_451_length_19394_cov_1918.221405
FL2015_9	NODE_2712_length_16862_cov_5579.011692
FL2015_30	NODE_3105_length_16774_cov_105.395262
FL2015_34	NODE_4354_length_16774_cov_3815.904588
FL2014_9	NODE_8388_length_16292_cov_72.204903
FL2014_3	NODE_5100_length_16292_cov_65.491570
FL2015_8	NODE_982_length_16774_cov_71.425907
